sku,name,category_slug,product_url,image_url,image_filename,row_id,cluster_id,pca_x,pca_y,surface_type,material_group,cluster_size
100899855,Niagara Fan Glass Mosaic,/tile,https://www.flooranddecor.com/glass-decoratives/niagara-fan-glass-mosaic-100899855.html,https://i8.amplience.net/i/flooranddecor/100899855_niagara-fan-glass-mosaic_display?fmt=auto&qlt=85,100899855.jpg,,25,,,,other,40
101065704,Elmwood Ash Wood Plank Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/elmwood-ash-wood-plank-porcelain-tile-101065704.html,https://i8.amplience.net/i/flooranddecor/101065704_elmwood-ash-wood-plank-porcelain-tile_display?fmt=auto&qlt=85,101065704.jpg,,0,,,,other,47
100831684,White Stiletto Ceramic Mosaic,/tile,https://www.flooranddecor.com/ceramic-tile/white-stiletto-ceramic-mosaic-100831684.html,https://i8.amplience.net/i/flooranddecor/100831684_white-stiletto-ceramic-mosaic_display?fmt=auto&qlt=85,100831684.jpg,,2,,,,other,39
100903723,Emory Falls Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/emory-falls-porcelain-tile-100903723.html,https://i8.amplience.net/i/flooranddecor/100903723_emory-falls-porcelain-tile_display?fmt=auto&qlt=85,100903723.jpg,,10,,,,other,60
101020261,Sucre Blanco Woodplank Ceramic Tile,/tile,https://www.flooranddecor.com/wood-look-plank-tile/sucre-blanco-woodplank-ceramic-tile-101020261.html,https://i8.amplience.net/i/flooranddecor/101020261_sucre-blanco-woodplank-ceramic-tile_display?fmt=auto&qlt=85,101020261.jpg,,1,,,,other,40
100572023,Andover White Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/andover-white-porcelain-tile-100572023.html,https://i8.amplience.net/i/flooranddecor/100572023_andover-white-porcelain-tile_display?fmt=auto&qlt=85,100572023.jpg,,19,,,,other,19
101306041,Cali Sand II Matte Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/cali-sand-ii-matte-porcelain-tile-101306041.html,https://i8.amplience.net/i/flooranddecor/101306041_cali-sand-ii-matte-porcelain-tile_display?fmt=auto&qlt=85,101306041.jpg,,10,,,,other,60
101233773,Caribou Polished Porcelain Tile,/tile,https://www.flooranddecor.com/porcelain-tile/caribou-polished-porcelain-tile-101233773.html,https://i8.amplience.net/i/flooranddecor/101233773_caribou-polished-porcelain-tile_display?fmt=auto&qlt=85,101233773.jpg,,31,,,,other,46
100899848,Blue Azalea Glass Mosaic,/tile,https://www.flooranddecor.com/glass-decoratives/blue-azalea-glass-mosaic-100899848.html,https://i8.amplience.net/i/flooranddecor/100899848_blue-azalea-glass-mosaic_display?fmt=auto&qlt=85,100899848.jpg,,8,,,,other,31
100912211,Unglazed White Penny Porcelain Mosaic,/tile,https://www.flooranddecor.com/porcelain-tile/unglazed-white-penny-porcelain-mosaic-100912211.html,https://i8.amplience.net/i/flooranddecor/100912211_unglazed-white-penny-porcelain-mosaic_display?fmt=auto&qlt=85,100912211.jpg,,8,,,,other,31
